        1000	N     221.64	S    1818.36	(  8.20)	N     223.56	S    1789.57	(  8.00)
       10000	N     221.56	S    1845.39	(  8.33)	N     225.87	S    1843.33	(  8.16)
      100000	N     221.34	S    1438.66	(  6.50)	N     225.63	S    1799.66	(  7.98)
     1000000	N     216.92	S    1144.26	(  5.27)	N     223.90	S    1741.63	(  7.78)
    10000000	N     212.77	S     780.03	(  3.67)	N     223.89	S    1219.11	(  5.45)
    20000000	N     218.23	S     846.93	(  3.88)	N     225.07	S    1154.53	(  5.13)
    40000000	N     217.81	S     826.15	(  3.79)	N     222.57	S    1222.01	(  5.49)
    50000000	N     218.76	S     721.97	(  3.30)	N     218.05	S    1078.12	(  4.94)
    70000000	N     216.51	S     817.25	(  3.77)	N     223.99	S    1168.19	(  5.22)
    80000000	N     215.21	S     720.57	(  3.35)	N     221.21	S    1076.94	(  4.87)
end: Not in while/foreach.
